feature,shap_value,absolute_value
numeric__oldbalanceOrg,21.84224565385941,21.84224565385941
numeric__oldbalanceDest,19.970864256354954,19.970864256354954
numeric__amount,19.676129698917766,19.676129698917766
categorical__type_CASH_OUT,-3.81016292197286,3.81016292197286
numeric__step,2.7561462779579338,2.7561462779579338
categorical__type_TRANSFER,1.7866146168315031,1.7866146168315031
numeric__newbalanceOrig,0.5858159009897682,0.5858159009897682
numeric__newbalanceDest,-0.5582988076907482,0.5582988076907482
numeric__isFlaggedFraud,-1.3109095878354507e-05,1.3109095878354507e-05
